               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.046786,            0.024961,           0.0027785,             0.57733,             0.65894,             0.60971,             0.33035,             0.05749,            0.012918,            0.001775,           0.0065969,           0.0065969,           0.0065969
                  46,            0.052819,            0.023661,           0.0026625,             0.74598,             0.71136,             0.74055,             0.40702,            0.049676,            0.012934,           0.0017564,           0.0065195,           0.0065195,           0.0065195
                  47,            0.047816,            0.023083,           0.0023566,              0.6173,             0.69086,             0.62151,             0.35953,            0.052927,            0.012556,            0.001712,           0.0064422,           0.0064422,           0.0064422
                  48,            0.049797,            0.023022,           0.0026327,             0.69088,              0.6586,             0.67354,             0.37099,            0.054229,            0.012524,           0.0016671,           0.0063648,           0.0063648,           0.0063648
                  49,            0.047758,            0.023002,           0.0021112,             0.60971,             0.74462,             0.71497,             0.37765,            0.053093,            0.012922,           0.0017009,           0.0062875,           0.0062875,           0.0062875
                  50,            0.048521,             0.02528,           0.0021412,             0.69112,             0.71425,             0.71502,             0.39565,            0.050055,             0.01255,           0.0016963,           0.0062102,           0.0062102,           0.0062102
                  51,            0.047022,            0.023534,            0.003033,             0.56809,             0.75389,             0.65687,             0.37433,             0.05175,            0.012289,             0.00169,           0.0061328,           0.0061328,           0.0061328
                  52,            0.047508,            0.024407,           0.0025673,             0.65258,             0.66902,             0.65062,             0.38195,            0.052161,            0.012468,           0.0016797,           0.0060555,           0.0060555,           0.0060555
                  53,            0.040327,            0.020765,           0.0023304,             0.75894,             0.71203,              0.7274,              0.3708,            0.050961,            0.012716,           0.0017023,           0.0059781,           0.0059781,           0.0059781
                  54,            0.046186,            0.021041,            0.002045,             0.76849,             0.77261,             0.78225,               0.407,            0.047915,            0.012945,           0.0017472,           0.0059008,           0.0059008,           0.0059008
                  55,            0.044392,            0.023118,           0.0024114,             0.68937,             0.72443,             0.66914,             0.36901,            0.053503,            0.013279,           0.0017841,           0.0058234,           0.0058234,           0.0058234
                  56,            0.047042,            0.020223,           0.0026012,             0.73272,             0.74462,             0.72206,             0.39656,            0.049171,            0.013277,           0.0017704,           0.0057461,           0.0057461,           0.0057461
                  57,             0.04293,            0.021643,           0.0023825,             0.69101,             0.72211,             0.73039,             0.40508,            0.051709,            0.013302,           0.0016027,           0.0056688,           0.0056688,           0.0056688
                  58,             0.04751,            0.023488,            0.002873,             0.71015,             0.72177,             0.70637,             0.39949,            0.050581,            0.012602,           0.0015924,           0.0055914,           0.0055914,           0.0055914
                  59,            0.046241,            0.026868,           0.0018946,             0.68143,             0.77554,             0.75938,             0.41064,            0.048454,            0.012957,           0.0015438,           0.0055141,           0.0055141,           0.0055141
                  60,            0.045835,            0.025531,           0.0019693,             0.73282,             0.70094,             0.70485,             0.37717,            0.052197,            0.012949,           0.0015747,           0.0054367,           0.0054367,           0.0054367
                  61,            0.043438,            0.022773,           0.0025194,             0.63093,             0.78629,             0.70255,             0.38003,            0.052257,             0.01297,           0.0014268,           0.0053594,           0.0053594,           0.0053594
                  62,            0.045191,            0.021699,           0.0031695,             0.71662,             0.81741,             0.75555,              0.3998,            0.048939,            0.013144,           0.0015661,            0.005282,            0.005282,            0.005282
                  63,            0.041187,            0.021052,           0.0020672,             0.69157,             0.70385,             0.69821,             0.36676,            0.051606,            0.013334,           0.0014059,           0.0052047,           0.0052047,           0.0052047
                  64,            0.044152,             0.02079,           0.0019884,             0.76108,             0.74294,             0.73579,              0.3945,             0.04991,            0.013186,           0.0013958,           0.0051273,           0.0051273,           0.0051273
                  65,            0.040445,            0.019943,           0.0019306,             0.80736,             0.75504,             0.74187,             0.39383,            0.053084,              0.0126,           0.0014012,             0.00505,             0.00505,             0.00505
                  66,            0.044797,            0.020945,           0.0015917,             0.77773,             0.71655,             0.75714,             0.40292,             0.04844,            0.013073,           0.0014089,           0.0049727,           0.0049727,           0.0049727
                  67,             0.04165,            0.022438,           0.0024588,             0.74795,             0.76579,             0.73241,             0.40104,            0.050217,             0.01284,           0.0014804,           0.0048953,           0.0048953,           0.0048953
                  68,            0.042149,            0.022114,           0.0021909,             0.84332,             0.74744,             0.78517,             0.40718,            0.047699,            0.012672,           0.0014643,            0.004818,            0.004818,            0.004818
                  69,            0.038629,              0.0219,           0.0018961,             0.73788,             0.76546,              0.7448,             0.39019,            0.050795,            0.012653,           0.0014919,           0.0047406,           0.0047406,           0.0047406
                  70,            0.044141,            0.021422,           0.0036449,             0.80157,             0.82897,              0.8241,             0.44586,            0.046559,            0.012629,           0.0014734,           0.0046633,           0.0046633,           0.0046633
                  71,              0.0397,            0.022385,           0.0017958,             0.68724,             0.77077,             0.73061,             0.41748,            0.049042,            0.012321,           0.0014683,           0.0045859,           0.0045859,           0.0045859
                  72,            0.040132,            0.021503,           0.0020796,             0.78497,             0.78089,             0.77949,             0.41914,            0.048297,            0.012249,           0.0013923,           0.0045086,           0.0045086,           0.0045086
                  73,            0.040615,            0.021021,           0.0019431,             0.80806,             0.70094,             0.75617,             0.43132,            0.048914,            0.012383,           0.0014305,           0.0044313,           0.0044313,           0.0044313
                  74,            0.041098,            0.021618,           0.0019205,             0.75541,             0.71519,             0.73031,             0.42023,            0.048949,            0.012783,           0.0014606,           0.0043539,           0.0043539,           0.0043539
                  75,            0.040975,            0.020196,           0.0014725,             0.68898,             0.76546,             0.73847,             0.38015,            0.050715,             0.01232,            0.001482,           0.0042766,           0.0042766,           0.0042766
                  76,            0.039574,            0.020545,             0.00195,             0.83985,             0.77587,             0.81305,             0.43661,            0.045713,             0.01227,           0.0013992,           0.0041992,           0.0041992,           0.0041992
                  77,            0.039113,            0.020815,           0.0017628,             0.76801,              0.7411,             0.69967,             0.42122,              0.0478,            0.012283,           0.0013342,           0.0041219,           0.0041219,           0.0041219
